alpha,window,n,x,expected_rate,observed_rate,lr_pof,p_value
0.975,125,1131,46,0.025000000000000022,0.040671971706454466,9.609477771518527,0.0019357568367238676
0.975,250,1006,33,0.025000000000000022,0.032803180914512925,2.2918717724161297,0.13005300017254118
0.975,500,756,19,0.025000000000000022,0.02513227513227513,0.0005417371258999992,0.981430716345457
0.99,125,1131,24,0.010000000000000009,0.021220159151193633,10.877962406039444,0.000973152487460327
0.99,250,1006,19,0.010000000000000009,0.018886679920477135,6.363619565091511,0.011648368066473513
0.99,500,756,6,0.010000000000000009,0.007936507936507936,0.3499086549262671,0.5541648428508117
