date,price
2021-03-08,356.32659912109375
2021-03-09,361.4140625
2021-03-10,363.6636962890625
2021-03-11,367.3509826660156
2021-03-12,367.845703125
2021-03-15,370.03936767578125
2021-03-16,369.5726013183594
2021-03-17,370.8328552246094
2021-03-18,365.43731689453125
2021-03-19,364.76116943359375
2021-03-22,367.67376708984375
2021-03-23,364.77984619140625
2021-03-24,362.92559814453125
2021-03-25,364.9671630859375
2021-03-26,370.8486328125
2021-03-29,370.66131591796875
2021-03-30,369.6778869628906
2021-03-31,371.1763916015625
2021-04-01,375.18475341796875
2021-04-05,380.5697937011719
2021-04-06,380.3450622558594
2021-04-07,380.7851867675781
2021-04-08,382.59271240234375
2021-04-09,385.374267578125
2021-04-12,385.5148010253906
2021-04-13,386.6572265625
2021-04-14,385.3367614746094
2021-04-15,389.47625732421875
2021-04-16,390.7780456542969
2021-04-19,388.8581237792969
2021-04-20,386.0111389160156
2021-04-21,389.6636047363281
2021-04-22,386.1047058105469
2021-04-23,390.2910461425781
2021-04-26,391.1058044433594
2021-04-27,391.021484375
2021-04-28,390.9091796875
2021-04-29,393.4003601074219
2021-04-30,390.81549072265625
2021-05-03,391.6584167480469
2021-05-04,389.2421875
2021-05-05,389.3638610839844
2021-05-06,392.4732360839844
2021-05-07,395.32965087890625
2021-05-10,391.4149169921875
2021-05-11,387.9215393066406
2021-05-12,379.6802062988281
2021-05-13,384.2410583496094
2021-05-14,390.1411437988281
2021-05-17,389.14849853515625
2021-05-18,385.795654296875
2021-05-19,384.78424072265625
2021-05-20,388.9237060546875
2021-05-21,388.6053161621094
2021-05-24,392.5668640136719
2021-05-25,391.69580078125
2021-05-26,392.4732360839844
2021-05-27,392.6791687011719
2021-05-28,393.3816223144531
2021-06-01,393.03515625
2021-06-02,393.6531982421875
2021-06-03,392.1921691894531
2021-06-04,395.779052734375
2021-06-07,395.3951721191406
2021-06-08,395.4794006347656
2021-06-09,394.889404296875
2021-06-10,396.72503662109375
2021-06-11,397.3806457519531
2021-06-14,398.2702941894531
2021-06-15,397.5398864746094
2021-06-16,395.3201904296875
2021-06-17,395.18914794921875
2021-06-18,389.8577880859375
2021-06-21,395.4390869140625
2021-06-22,397.5531311035156
2021-06-23,397.073974609375
2021-06-24,399.4229431152344
2021-06-25,400.84173583984375
2021-06-28,401.6498107910156
2021-06-29,401.8659362792969
2021-06-30,402.2041931152344
2021-07-01,404.4309997558594
2021-07-02,407.52227783203125
2021-07-06,406.7799987792969
2021-07-07,408.21759033203125
2021-07-08,404.8914489746094
2021-07-09,409.2135009765625
2021-07-12,410.6793518066406
2021-07-13,409.2793273925781
2021-07-14,409.89013671875
2021-07-15,408.49005126953125
2021-07-16,405.28607177734375
2021-07-19,399.3008117675781
2021-07-20,405.0229797363281
2021-07-21,408.3020935058594
2021-07-22,409.15716552734375
2021-07-23,413.36663818359375
2021-07-26,414.38134765625
2021-07-27,412.4927062988281
2021-07-28,412.3235778808594
2021-07-29,414.03369140625
2021-07-30,412.0229797363281
2021-08-02,411.158447265625
2021-08-03,414.5035705566406
2021-08-04,412.464599609375
2021-08-05,415.0766906738281
2021-08-06,415.76251220703125
2021-08-09,415.42437744140625
2021-08-10,415.94110107421875
2021-08-11,416.9745788574219
2021-08-12,418.2242431640625
2021-08-13,418.98541259765625
2021-08-16,419.971923828125
2021-08-17,417.2189636230469
2021-08-18,412.65252685546875
2021-08-19,413.2913513183594
2021-08-20,416.5799865722656
2021-08-23,420.244384765625
2021-08-24,420.9114990234375
2021-08-25,421.7947082519531
2021-08-26,419.3048095703125
2021-08-27,423.0538635253906
2021-08-30,424.9142150878906
2021-08-31,424.2846984863281
2021-09-01,424.51019287109375
2021-09-02,425.8162841796875
2021-09-03,425.71282958984375
2021-09-07,424.19073486328125
2021-09-08,423.6739196777344
2021-09-09,421.8605041503906
2021-09-10,418.5343933105469
2021-09-13,419.60546875
2021-09-14,417.3410949707031
2021-09-15,420.8269958496094
2021-09-16,420.1598205566406
2021-09-17,416.0671081542969
2021-09-20,409.1295166015625
2021-09-21,408.7430114746094
2021-09-22,412.7301940917969
2021-09-23,417.7448425292969
2021-09-24,418.43304443359375
2021-09-27,417.2359619140625
2021-09-28,408.8278503417969
2021-09-29,409.5159912109375
2021-09-30,404.5107116699219
2021-10-01,409.3179626464844
2021-10-04,404.0394592285156
2021-10-05,408.2434387207031
2021-10-06,409.9400329589844
2021-10-07,413.48431396484375
2021-10-08,412.7301940917969
2021-10-11,409.7422180175781
2021-10-12,408.7336120605469
2021-10-13,410.20404052734375
2021-10-14,417.10394287109375
2021-10-15,420.2805480957031
2021-10-18,421.5247497558594
2021-10-19,424.7768249511719
2021-10-20,426.4451904296875
2021-10-21,427.5574951171875
2021-10-22,427.1143798828125
2021-10-25,429.4049987792969
2021-10-26,429.7914733886719
2021-10-27,427.887451171875
2021-10-28,432.0160217285156
2021-10-29,432.8926696777344
2021-11-01,433.63726806640625
2021-11-02,435.39056396484375
2021-11-03,438.04876708984375
2021-11-04,440.1130065917969
2021-11-05,441.6400451660156
2021-11-08,442.01708984375
2021-11-09,440.5559997558594
2021-11-10,437.0118408203125
2021-11-11,437.1532287597656
2021-11-12,440.45233154296875
2021-11-15,440.6031799316406
2021-11-16,442.3469543457031
2021-11-17,441.2724609375
2021-11-18,442.7712097167969
2021-11-19,441.9793395996094
2021-11-22,440.735107421875
2021-11-23,441.3195495605469
2021-11-24,442.497802734375
2021-11-26,432.62872314453125
2021-11-29,437.9356689453125
2021-11-30,429.41448974609375
2021-12-01,424.64483642578125
2021-12-02,431.1488037109375
2021-12-03,427.3971862792969
2021-12-06,432.4591064453125
2021-12-07,441.4043884277344
2021-12-08,442.5732116699219
2021-12-09,439.5851745605469
2021-12-10,443.7231750488281
2021-12-13,439.79254150390625
2021-12-14,436.7666931152344
2021-12-15,443.59124755859375
2021-12-16,439.679443359375
2021-12-17,434.99993896484375
2021-12-20,430.37445068359375
2021-12-21,438.0174255371094
2021-12-22,442.39703369140625
2021-12-23,445.1496887207031
2021-12-27,451.449462890625
2021-12-28,451.0805969238281
2021-12-29,451.6576232910156
2021-12-30,450.4089660644531
2021-12-31,449.27386474609375
2022-01-03,451.8751220703125
2022-01-04,451.7237854003906
2022-01-05,443.0497741699219
2022-01-06,442.63360595703125
2022-01-07,440.8835754394531
2022-01-10,440.3349609375
2022-01-11,444.3456115722656
2022-01-12,445.54693603515625
2022-01-13,439.40789794921875
2022-01-14,439.587646484375
2022-01-18,431.80279541015625
2022-01-19,427.3190612792969
2022-01-20,422.5894470214844
2022-01-21,414.29376220703125
2022-01-24,416.0531311035156
2022-01-25,410.9736022949219
2022-01-26,409.9425964355469
2022-01-27,407.9183349609375
2022-01-28,418.04913330078125
2022-01-31,425.57861328125
2022-02-01,428.4542541503906
2022-02-02,432.6162109375
2022-02-03,422.4476623535156
2022-02-04,424.43402099609375
2022-02-07,423.0718688964844
2022-02-08,426.55291748046875
2022-02-09,432.7959899902344
2022-02-10,425.0205383300781
2022-02-11,416.6396484375
2022-02-14,415.27752685546875
2022-02-15,421.9746398925781
2022-02-16,422.4476623535156
2022-02-17,413.42352294921875
2022-02-18,410.74664306640625
